"Nombre","Descripción","Tipo","Dirección","Latitud","Longitud"
"04. Monumento a Pepe Luis Vázquez. Fecha: 2003.","<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Monumento realizado en honor a Jos&eacute; Luis V&aacute;zquez Garc&eacute;s , torero y ganadero.</p>
","A Orillas del Guadalquivir","Paseo del Alcalde Marqués de Contadero",37.384325,-5.998665
"03. Teatro de la Maestranza. Fecha:1991. Autores: Aurelio del Pozo y Luis Marín. ","<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Es un coliseo l&iacute;rico y musical considerado uno de los mejores teatros vanguardistas de Espa&ntilde;a.</p>
","A Orillas del Guadalquivir","Paseo Cristobal Colón, 22",37.383881,-5.997075
"02. Torre del Oro. ","<p>&nbsp;</p>
<p>Es una torre albarrana&nbsp; formada por tres cuerpos de diferentes &eacute;pocas. Torre levantada en el primer tercio del siglo XIII.</p>
","A Orillas del Guadalquivir","Paseo de Cristóbal Colón ",37.382394,-5.99649
"01. Puerta Jerez","<p>&nbsp;</p>
<p>Plaza que nace con motivo de las obras realizadas en la ciudad para la Exposici&oacute;n Iberoamericana de 1929, acceso natural a la zona monumental.</p>
","A Orillas del Guadalquivir","Puerta Jerez",37.382206,-5.992473
"Casablanca","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Adobo","Adolfo Rodríguez Jurado, 12",37.383722,-5.9941
"Barbiana","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Adobo","C/ Albareda, 11 ",37.389427,-5.995302
"La Alicantina ","<p><strong>La Alicantina Restaurante &amp; Bar</strong>, nace en 1922 prestando servicio a los sevillanos y visitantes en el marco de la Sevilla m&aacute;s tradicional, la Plaza del Salvador, plaza peatonal en el centro hist&oacute;rico de la ciudad.</p>
<p>En La Alicantina conviven la tradicional &ldquo;<strong>tapa sevillana</strong>&rdquo; con los mejores mariscos, arroces y frituras de pescados.</p>
<p>Su fama gastron&oacute;mica va m&aacute;s all&aacute; del propio establecimiento, as&iacute; de todos es sabido que &ldquo;<strong>la ensaladilla</strong>&rdquo; es uno de sus mayores reclamos. Esta tapa ha sido premiada en varias ocasiones (mejor receta cl&aacute;sica en la Feria de la Tapa y la Gastronom&iacute;a 2.003, 2.005 y 2.007) y aunque es una receta muy com&uacute;n en casi todo el pa&iacute;s, &eacute;sta es especial. No lo decimos nosotros, sino todos aquellos que nos visitan, la prueban y repiten.</p>
<p>&nbsp;</p>
","Adobo","Plaza Salvador,2",37.390243,-5.99299
"Freiduría El Arenal ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Adobo","C/ Arfe, 8 ",37.385098,-5.997066
"Taberna Chani ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Adobo","C/ Espinosa y Cárcel, 43",37.378306,-5.973529
"Reserva Natural Cañada de los Pájaros","<p>&iquest;Os gustan las aves? Aqu&iacute; podr&eacute;is disfrutar observando el ir y venir de los habitantes de La Ca&ntilde;ada. Al ser parte de las marismas de Do&ntilde;ana y cera del estrecho de Gibraltar es un lugar de paso de muchas especies de aves. Adem&aacute;s, podr&eacute;is disfrutar de visitas guiadas en las marismas de Do&ntilde;ana, alojaros en un hotel rural o comer algo en la taberna con comida casera y vistas a la laguna.</p>
<p>Siempre recordando que est&aacute;is en un lugar acreditado en la Carta Europea de Turismo Sostenible con el Espacio Natural de Do&ntilde;ana.</p>
<p><strong><a href=""http://www.canadadelospajaros.com/"">www.canadadelospajaros.com</a></strong></p>
","Animales","Ctra. Isla Mayor- Puebla del Río km. 8. La Puebla del Río",37.239632,-6.13083
"Reserva Natural Castillo de las Guardas","<p>&iquest;Os gustan los animales? Disfrutar&eacute;is mucho con esta visita, ya que la reserva se encuentra en un medio extraordinario que es una antigua mina de cobre. Aqu&iacute; conviven m&aacute;s de 1000 animales de m&aacute;s de 100 especies diferentes en condiciones similares a las de su h&aacute;bitat natural.</p>
<p>Adem&aacute;s, podr&eacute;is disfrutar de exhibiciones con aves rapaces y leones marinos, alojarte dentro de la reserva y realizar actividades variadas como karting, paintball, multiaventura, ba&ntilde;arte con leones marinos, etc.<br />
<br />
<a href=""http://www.lareservadelcastillodelasguardas.es/"">www.lareservadelcastillodelasguardas.es</a></p>
","Animales","Finca Herrería Bajas s/n. Ctra. A- 476, km. 6,820",37.693256,-6.315356
"Zoo de Sevilla","<p>&iquest;A tus hijos les gustan los animales? Pod&eacute;is pasar un d&iacute;a en familia inolvidable en el Zoo de Sevilla. A parte de ofrecer una importante variedad de&nbsp;especies animales&nbsp;que incluye leones, tigres, jaguares, aves , reptiles y decenas de especies m&aacute;s; El parque se ha&nbsp;especializado en la bot&aacute;nica, mostrando bellos bons&aacute;is, un desierto de cactus y una reproducci&oacute;n de la selva tropical. Es toda una experiencia natural que no os pod&eacute;is perder!<br />
<br />
<strong><a href=""http://www.zoodesevilla.es/"">www.zoodesevilla.es</a></strong></p>
","Animales","Crta. Guillena- Las Pajanosas km 4,2 ",37.566189,-6.079895
"Acuario de Sevilla ","<p>&iquest;Has visto alguna vez un tibur&oacute;n de cerca? Ahora puedes hacer tu sue&ntilde;o realidad en el tanque de tiburones m&aacute;s profundo de Espa&ntilde;a. Este acuario ofrece un recorrido marino recreando el viaje que realiz&oacute; Magallanes en 1519 con el objetivo de buscar una nueva ruta para llegar a la Isla de las Especias.</p>
<p>Una experiencia &uacute;nica que podr&aacute;s realizar en familia y descubrir las m&aacute;s de 400 especies que alberga recreando sus ecosistemas. Las especies m&aacute;s singulares que se pueden encontrar son los tiburones toro y martillo, las tortugas matamata, los cocodrilos, las anacondas y un pulpo gigante, entre otras. Otras actividades que ofrece el acuario son aulas taller o noches con tiburones que podr&aacute;s disfrutar en familia y ser&aacute;n experiencias &uacute;nicas.<br />
<br />
<strong><a href=""http://www.acuariosevilla.es/"">www.acuariosevilla.es</a></strong></p>
","Animales","Muelle de las Delicias. Área sur ",37.370565,-5.991229
"Centro Andaluz de la Fauna Salvaje","<p>En el coraz&oacute;n de la Sierra Norte de Sevilla, podr&eacute;is encontrar la mayor colecci&oacute;n de fauna salvaje de Andaluc&iacute;a. La muestra tiene m&aacute;s de 250 especies de animales distribuidos en diferentes salas, entre ellas, sala entomolog&iacute;a, ornitolog&iacute;a y la sala principal que alberga la mayor colecci&oacute;n de animales perfectamente naturalizados en sus h&aacute;bitats.</p>
<p>Adem&aacute;s, posee una colecci&oacute;n paleontol&oacute;gica&nbsp; y de arte sudafricano.</p>
","Animales","Ctra. Almadén de la Plata, km. 15.Castilblanco de los Arroyos ",37.778101,-5.994343
"Antigüedades El Museo","<div class=""cards-entity-left"">
<div class=""cards-show-expanded"">
<div jsl=""$x 2;"" jstid=""978"">
<div class=""cards-alias-entity-location"">
<h1 class=""cards-entity-title cards-strong cards-text-truncate-and-wrap"">
&nbsp;</h1>
</div>
</div>
</div>
</div>
<p>&nbsp;</p>
","Antigüedades","Plaza del Museo 4",37.392712,-5.999268
"Numismatica Pliego","<div class=""cards-entity-left"" jstcache=""0"">
<div class=""cards-show-expanded"" jstcache=""0"">
<div jstcache=""28"">
<div class=""cards-alias-entity-location"" jstcache=""0"">
<h1 class=""cards-entity-title cards-strong cards-text-truncate-and-wrap"" jstcache=""0"">
&nbsp;</h1>
<p><strong>P&aacute;gina web:</strong></p>
<p>pliego.eu</p>
</div>
</div>
</div>
</div>
<p>&nbsp;</p>
","Antigüedades","C/ Álvarez Quintero, 2",37.389693,-5.993274
"Bastilippo Antigüedades","<p>&nbsp;</p>
<p><strong>P&aacute;gina web:</strong></p>
<p>bastilippo.es</p>
","Antigüedades","C/ Acetres, 10",37.391386,-5.993245
"Casa Ricardo (Antigua Casa Ovidio)","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Arroz del día","C/ Hernán Cortés,2  ",37.397533,-5.996042
"Casa Paco ","<p>*Fotograf&iacute;a cedida por AZAHAR- SEVILLA.com</p>
","Arroz del día","C/ Luis Huidrobro,23",37.388972,-5.971094
"Barbiana","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Arroz del día","C/ Albareda, 11 ",37.389427,-5.995302
"La Alicantina ","<p><strong>La Alicantina Restaurante &amp; Bar</strong>, nace en 1922 prestando servicio a los sevillanos y visitantes en el marco de la Sevilla m&aacute;s tradicional, la Plaza del Salvador, plaza peatonal en el centro hist&oacute;rico de la ciudad.</p>
<p>En La Alicantina conviven la tradicional &ldquo;<strong>tapa sevillana</strong>&rdquo; con los mejores mariscos, arroces y frituras de pescados.</p>
<p>Su fama gastron&oacute;mica va m&aacute;s all&aacute; del propio establecimiento, as&iacute; de todos es sabido que &ldquo;<strong>la ensaladilla</strong>&rdquo; es uno de sus mayores reclamos. Esta tapa ha sido premiada en varias ocasiones (mejor receta cl&aacute;sica en la Feria de la Tapa y la Gastronom&iacute;a 2.003, 2.005 y 2.007) y aunque es una receta muy com&uacute;n en casi todo el pa&iacute;s, &eacute;sta es especial. No lo decimos nosotros, sino todos aquellos que nos visitan, la prueban y repiten.</p>
<p>&nbsp;</p>
","Arroz del día","Plaza Salvador,2",37.390243,-5.99299
"La Primera del Puente ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Arroz del día","C/ Betis, 66 ",37.381353,-5.997799
"La Reja ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Arroz del día","C/ Santa María de Gracia,13",37.392624,-5.994923
"Génova ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Arroz del día","Avda. de la Constitución,10",37.389173,-5.997262
"El Candil Triana ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Arroz del día","C/ Paraíso,3",37.379286,-6.001041
"Bodega Santa Cruz (Las Columnas)","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Arroz del día","C/ Rodrigo Caro, 1 ",37.386023,-5.990772
"Restaurante La Infanta ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Arroz del día","C/ Arfe, 32",37.385632,-5.995508
"Asador Salas ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Arroz del día","C/ Almansa, 15",37.38832,-5.999788
"Taberna Berrocal","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Arroz del día","C/ Moratín, 6",37.389914,-5.99761
"04.Calle Dueñas","<p>Esta calle se llama as&iacute; debido a que en 1248, La Compa&ntilde;&iacute;a de las Due&ntilde;as que realizaban encargos que tuvieran que ver con armas y batalla, instalan all&iacute; una de sus casas.</p>
<p>&nbsp;</p>
<p>Y en ella se encuentra el primer palacio de nuestra aventura. Estar&eacute;is pensando que en los palacios viven princesas o pr&iacute;ncipes... en este vivi&oacute; un poeta.</p>
<p>&nbsp;</p>
<p>Descubre el secreto de Due&ntilde;as.</p>
","Aventura 1: La Sevilla oculta","Calle Dueñas",37.394758,-5.989507
"03.Calle Bustos Tavera","<p>Esta calle tiene mucha historia. Aqu&iacute; vivi&oacute; durante el siglo XIV un afamado caballero, de nombre Bustos Tavera.</p>
<p>&nbsp;</p>
<p>Su renombre en la ciudad tuvo que ser tan grande que la calle donde habitaba acab&oacute; llam&aacute;ndose como el mismo, &iexcl;qu&eacute; honor! Como dato curioso, os diremos que el Tribunal del Santo Oficio, la tristemente c&eacute;lebre Inquisici&oacute;n, estuvo en el n&uacute;mero 24 de esta calle en 1635. Esto se debi&oacute; a la realizaci&oacute;n de obras en la sede original de dicha instituci&oacute;n: El castillo de San Jorge, en Triana, espacio que tambi&eacute;n puede visitarse.</p>
<p>&nbsp;</p>
<p>Pero continua hasta la calle San Luis, dos cosas te aguardan en ese emplazamiento &uacute;nico.</p>
","Aventura 1: La Sevilla oculta","Calle Bustos Tavera",37.394955,-5.988074
"02.Calle Siete Revueltas","<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Siete Revueltas puede llegar a parecer una calle m&aacute;s del casco hist&oacute;rico de la magn&iacute;fica ciudad de Sevilla, pero nada m&aacute;s lejos de la realidad. A medida que os vay&aacute;is adentrando en ella su curioso nombre ir&aacute; cobrando m&aacute;s y m&aacute;s significado. El mismo, proviene de los siete giros que hallaremos tras alcanzar cada una de las ocho esquinas de la calle.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">&iexcl;Fijaos!, en menos de doscientos metros caminaremos por siete revueltas. Prestad atenci&oacute;n al capitel de una de las esquinas. &iquest;Cu&aacute;ntos animales pod&eacute;is ver representados en ese capitel? En esta ciudad vais a encontrar muchos animales esculpidos en piedra.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">La casa a la que pertenece este capitel tambi&eacute;n muestra en su fachada un ser mitol&oacute;gico que dice la leyenda que fue muerto por un Arc&aacute;ngel.</p>
","Aventura 1: La Sevilla oculta","Calle Siete Revueltas",37.390858,-5.991881
"03.Plaza de la Encarnación","<p class=""rtejustify"">Atravesando la calle Puente y Pell&oacute;n, llegaremos a esta preciosa plaza. Antiguamente en la plaza de la Encarnaci&oacute;n existi&oacute; un convento llamado Convento de la Encarnaci&oacute;n, del cual la plaza toma su nombre. El convento fue desmantelado durante la ocupaci&oacute;n francesa de la ciudad, a principios del siglo XIX. Pero qued&oacute; un espacio que la ciudad hizo suyo.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">La fuente que pod&eacute;is ver es del siglo XVIII, hasta el momento no se sabe su autor&iacute;a. En la zona inferior de la misma a&uacute;n queda grabada la fecha concreta de construcci&oacute;n. &iquest;Cu&aacute;l es? Su destino original fue el patio del convento, pero cuando este fue demolido, la fuente se reutiliz&oacute; para dar frescor y alegr&iacute;a a la plaza.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">En el a&ntilde;o 2004 se realiz&oacute; un concurso internacional de ideas para dar a esta plaza una estructura diferente y que constituyera un lugar de encuentro. El alem&aacute;n J&uuml;rgen Meyer fue el arquitecto ganador con su proyecto denominado Metropol Parasol. &ldquo;Las setas&rdquo; como es conocido por la mayor&iacute;a de sevillanas y sevillanos, se ha ganado su lugar en la arquitectura de la ciudad. Incluso la maqueta del Metropol Parasol se encuentra expuesta en el Museo de Arte Contempor&aacute;neo de Nueva York, el famoso MOMA.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Como puedes ver la plaza de la Encarnaci&oacute;n mezcla la tradici&oacute;n con el presente y el futuro de la ciudad en una uni&oacute;n &uacute;nica y extraordinaria. La belleza y las formas de la plaza de la Encarnaci&oacute;n son una aventura en s&iacute;.</p>
","Aventura 1: La Sevilla oculta","Plaza de la Encarnación",37.39331,-5.992348
"04.Mercado de abastos de la Encarnación","<div>
Inaugurado en diciembre de 2010, este mercado tiene 40 puestos de unos 20 metros cuadrados cada uno. Hay fruter&iacute;as, carnicer&iacute;as, ultramarinos, pescader&iacute;as, cafeter&iacute;as y una joyer&iacute;as.</div>
<div>
Si has sido r&aacute;pida en el recorrido entra y encuentra nuestras famosas naranjas, sabrosas y dulces, originarias de nuestra provincia. &iquest;Sabes que en las calles de la ciudad de Sevilla tenemos m&aacute;s de 10.000 naranjos amargos? Los que ves por doquier nos regalan una exquisita naranja amarga para hacer mermeladas, dulces o perfumes, pero no es &eacute;sta la que est&aacute;s viendo en el mercado. Tened en cuenta que la naranja que ves en el mercado no es la misma que la que producen los naranjos de calles.</div>
<div>
&nbsp;</div>
","Aventura 1: La Sevilla oculta","Plaza de la Encarnación",37.393327,-5.991921
"05.El Antiquarium","<p class=""rtejustify"">Continuando en la plaza de la Encarnaci&oacute;n no podemos dejar pasar el interesante Antiquiarium. Este espacio alberga en su interior las primeras piedras que se colocaron en la plaza de la Encarnaci&oacute;n. &iexcl;Los romanos ya disfrutaban de esta plaza! Bajad sin miedo, &iexcl;os encantar&aacute;!</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">El Antiquarium est&aacute; cubierto por una cambiante capa de vidrio por todo su espacio. Aqu&iacute; descansan los restos romanos, desde el emperador Tiberio (30 d.C.) hasta el s. VI. Tambi&eacute;n hallaremos una casa isl&aacute;mica almohade de los siglos XII y XIII.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Si sois unos apasionados de la historia y la arqueolog&iacute;a, os interesar&aacute; visitar el Museo Arqueol&oacute;gico, en la Plaza de Am&eacute;rica y la Casa &ndash; Palacio de la Condesa de Lebrija, en la calle Cuna. Y ahora, si os apetece, &iexcl;subamos en ascensor a pasear por encima de las &ldquo;setas&rdquo;! Aqu&iacute; tenemos las pasarelas y el mirador a 28,5 metros de altura sobre la cubierta de madera del complejo. Llegamos a un balc&oacute;n panor&aacute;mico por una pasarela de unos 250 metros que serpentea encima de la estructura con vistas a toda la ciudad de Sevilla. &iexcl;Qu&eacute; maravilla!</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Con esto llegamos al final de nuestra primera traves&iacute;a. Espero que no est&eacute;is cansados. Los Gir&aacute;ldez quedamos tan maravillados con los tesoros descubiertos que seguimos en pos de m&aacute;s. &iquest;Te los vas a perder? &iexcl;Acomp&aacute;&ntilde;anos en la traves&iacute;a II!</p>
","Aventura 1: La Sevilla oculta","Plaza de la Encarnación",37.393183,-5.991754
"02.Calle Feria","<p class=""rtejustify"">Seguimos nuestra aventura en un enclave tan sevillano como la calle Feria donde todos los jueves por la ma&ntilde;ana hay un mercadillo a lo largo de la misma. Si tienes la suerte de encontr&aacute;rtelo no te pierdas los juguetes antiguos, las colecciones de cromos y aut&eacute;nticos comics con m&aacute;s de 30 a&ntilde;os, &iexcl;toda una aventura por descubrir! &iexcl;Incluso puedes intercambiar los cromos con tus amigos cuando regreses!</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Al llegar junto a la iglesia de San Juan de la Palma, encontramos una Casa- Palacio que fue uno de los edificios m&aacute;s emblem&aacute;ticos de la ciudad. Su fundador fue Gonzalo Arias Saavedra de la noble familia de los Condes de Castellar. Con una entrada decididamente barroca, esta maravillosa pieza de la arquitectura sevillana sorprende al visitante con su aire majestuoso. Al pasar a manos del conde de Torrenueva su espacio se convertir&iacute;a en unas enormes caballerizas.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Trescientos a&ntilde;os despu&eacute;s, la gente segu&iacute;a llam&aacute;ndola Casa de los Saavedra, pero a finales del siglo XIX el pueblo sevillano empez&oacute; a conocerla como Casa de los Artistas, ya que se convirti&oacute; en un verdadero im&aacute;n para las personas vinculadas al mundo del arte. Por poner un ejemplo, el gran maestro bailaor Pericet, paradigma de la Escuela Sevillana, ten&iacute;a all&iacute; su famosa academia.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">El cine tambi&eacute;n aprovech&oacute; tan pintoresco lugar y tuvieron lugar grabaciones de producciones para la peque&ntilde;a y gran pantalla: &ldquo;Currito de la Cruz&rdquo; (1925), &ldquo;Brindis al cielo&rdquo;, &ldquo;La mujer y el pelele&rdquo; con Brigitte Bardot, y la p&iacute;cara y televisiva &ldquo;Rinconete y Cortadillo&rdquo; (1965).</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Y es que la belleza de Sevilla s&oacute;lo tiene un rival y es el arte que impregna cada rinc&oacute;n de la ciudad. Pero si la historia de esta casa te sorprende, da media vuelta y observa la iglesia de San Juan de la Palma.</p>
","Aventura 1: La Sevilla oculta","Calle  Feria",37.399184,-5.991821
"02.Calle San Luis","<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Bien adentrados en la calle San Luis, estaremos paseando por una de las calles de mayor calado hist&oacute;rico de la ciudad hispalense. Seg&uacute;n recientes investigaciones, el cardo m&aacute;ximo de la ciudad romana fue buena parte de lo que hoy comprende su viario. El cardo, tomado de la terminolog&iacute;a de las ciudades romanas, es una de las dos v&iacute;as principales en cuya intersecci&oacute;n se encontraba el Foro. &iexcl;Cu&aacute;ntas palabras conservamos de nuestros antepasados romanos! Con la dominaci&oacute;n musulmana se har&iacute;a llamar la Calle Mayor, y tras la conquista cristiana seria conocida como la Calle Real. Este &uacute;ltimo nombre se debi&oacute; a la situaci&oacute;n en uno de sus extremos, de uno de los principales accesos a la ciudad. Estamos hablando de la Puerta de la Macarena, conocida entre las sevillanas y sevillanos como el &ldquo;Arco de la Macarena&rdquo;.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Gracias a registros hist&oacute;ricos sabemos que al menos cinco reyes pasaron por esta puerta, que sin embargo jam&aacute;s disfrut&oacute; del ep&iacute;teto de &ldquo;Puerta Real&rdquo;. Fue la puerta de Goles, cerca de la actual Plaza de Armas, la que se llev&oacute; tan regio apelativo durante los fastos de la celebraci&oacute;n por la visita del emperador Felipe II.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">&iquest;Sab&iacute;as que en Sevilla hubo un total de dieciocho puertas? Como la del Sol, la del Arenal, la de la Carne, la de Carmona, la del Osario, etc.</p>
","Aventura 1: La Sevilla oculta","Calle San Luis",37.399677,-5.988524
"04.Iglesia de San Marcos","<p>&nbsp;</p>
<p>Contemplamos la Iglesia de San Marcos, uno de los conjuntos arquitect&oacute;nicos m&aacute;s representativos del estilo mud&eacute;jar sevillano.</p>
<p>&nbsp;</p>
<p>&iquest;Sabes que Sevilla es una de las cunas del estilo mud&eacute;jar y que contamos con importantes exponentes de este arte?</p>
<p>&nbsp;</p>
<p>Para ayudarte, te damos una peque&ntilde;a pista: Real Academia de la Lengua Espa&ntilde;ola.</p>
<p>&nbsp;</p>
<p>Se dice del estilo arquitect&oacute;nico que floreci&oacute; en Espa&ntilde;a desde el siglo XIII hasta el XVI, caracterizado por la conservaci&oacute;n de elementos del arte y el empleo de la ornamentaci&oacute;n.</p>
<p>&nbsp;</p>
<p>Esta iglesia tiene la peculiaridad de mostrar en su portada una imagen de Dios Padre. Cuando lo com&uacute;n es ver im&aacute;genes representando a Cristo, la Virgen o los Santos. El &ldquo;Padre Eterno&rdquo; se nos muestra agarrando con su mano izquierda un globo terr&aacute;queo. Toda esta escena coronando los cinco arcos apuntados, tan t&iacute;picos de esa mezcla perfecta del arte g&oacute;tico y musulm&aacute;n que es el mud&eacute;jar. Llama poderosamente la atenci&oacute;n los dos grandes postes de granito que parecen guardar la puerta. El nivel de desgaste que muestran los hace parecer mucho m&aacute;s antiguos que el resto de la iglesia, fruto quiz&aacute;s de la reutilizaci&oacute;n de materiales.</p>
<p>&nbsp;</p>
<p>Rodead la iglesia por la derecha.</p>
","Aventura 1: La Sevilla oculta","Plaza de San Marcos, 7",37.396272,-5.987684
"05.Convento de Santa Isabel","<p class=""rtejustify"">Pero nuestra traves&iacute;a contin&uacute;a y en este caso es hasta el convento de Santa Isabel.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">En el coraz&oacute;n del barrio de San Juli&aacute;n, anexo al convento de Santa Isabel, podremos encontrar esta silenciosa plaza con el mismo nombre.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">En su centro, una enorme pila hace las veces de fuente donde las palomas aplacan su sed. En su fachada principal hay un azulejo que nos relata un poco de la historia de este lugar, &iquest;lo has encontrado? Est&aacute; cerca de uno de los balcones, &iquest;ahora s&iacute;?</p>
","Aventura 1: La Sevilla oculta","Plaza de Santa Isabel",37.396457,-5.987065
"01.Hiniesta-Lira-Duque Cornejo","<p class=""rtejustify"">Uno de los barrios m&aacute;s antiguos de Sevilla es el del barrio de la Hiniesta. En 1248 podemos encontrarlo con el nombre de Barrio de los Hortelanos. Ya en el XVI su nombre hab&iacute;a cambiado a Rascaviejas y a partir de 1875 se le llam&oacute; Hiniesta. Si continuamos por el barrio de San Juli&aacute;n podremos encontrar el Corral de vecinos n&ordm; 10, conocido como Casa de la Parra.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Y llegados a este punto nos encontramos con el templo que da su nombre al barrio, el templo de San Juli&aacute;n.</p>
","Aventura 1: La Sevilla oculta","Calle San Julián, 2",37.398783,-5.985634
