idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8943,Richote,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Avda. Fermín, 23",36207,986379903,,Tiene capacidad para 20 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res234.jpg,42.2539249497295,-8.7025575330978,,es-ES
8944,Roucos,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Santa Marta, 14",36202,986435150,,Tiene capacidad para 20 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res235.jpg,42.2354060001685,-8.73035368671569,,es-ES
8885,Marítimo,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Montero Ríos, nº 38",36201,986431979,,Tiene capacidad para 56 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res161.jpg,42.2404723290181,-8.72122968631581,,es-ES
8886,Maruja Limón,restaurantes,59,Cocina de autor,Restaurante de 1 Tenedor,"Victoria, 4",36201,986473406,www.nove.biz/es/maruja-limon,Comida de autor en uno de los restaurantes de referencia en Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/res162.jpg,42.2389744532124,-8.72442636626308,,es-ES
8887,Mare,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Ríos, 157",36216,986452991,,Tiene capacidad para 60 comensales. Permanece cerrado los sábados e los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res163.jpg,42.2565770981637,-8.69199471742571,,es-ES
8888,Mediterranean Buffet,restaurantes,10,Otros,Restaurante de 1 Tenedor,Baix. ó Castaño s/n. CC G. Vía,36205,986417266,,Tiene capacidad para 199 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res164.jpg,42.2208831269259,-8.72400195368153,,es-ES
8889,Mesón Arbo,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Pastora, 57",36210,986470337,,Acogedor restaurante donde se puede degustar los pratos más típicos de la comida gallega.,http://www.turismodevigo.org/sites/turismodevigo/files/res165.jpg,42.2183933953298,-8.72755165062813,,es-ES
8890,Mesón del Marisco,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Canido - Praia, 157",36390,986490195,www.mesondomarisco.com,Tiene capacidad para 120 comensales. Permanece cerrado los lunes.,http://www.turismodevigo.org/sites/turismodevigo/files/res169.jpg,42.1936975532479,-8.79688115716961,,es-ES
8884,Marisquería Bahía,restaurantes,60,Marisquería,Restaurante de 2 Tenedores,"Cánovas del Castillo, 24",36202,986449656,www.marisqueriabahia.com,Tiene capacidad para 520 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res160.jpg,42.2400696701568,-8.72577398131487,,es-ES
8883,Maintal,restaurantes,7,Cocina gallega,Restaurante de 1 Tenedor,"Maestro Montes, 7",36206,986273834,,Tiene capacidad para 20 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res156.jpg,42.2409299774828,-8.703248339027,,es-ES
8882,MacDonalds Samil,restaurantes,10,Otros,Restaurante de 1 Tenedor,"Avda. Samil, 31",36212,986247743,www.mcdonalds.es,Especialidad en comida rápida,http://www.turismodevigo.org/sites/turismodevigo/files/res155.jpg,42.2106387281044,-8.77429104137984,,es-ES
8881,Los Troncos,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Martínez Garrido, 16",36205,986274343,,Tiene capacidad para 46 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res154.jpg,42.2294316382256,-8.70016869070523,,es-ES
8880,Green,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,Centro Comercial A Laxe,36011,986136347,,Tiene capacidad para 101 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res153.jpg,42.2213284409609,-8.72386340235902,,es-ES
8879,Los Arcos,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,Baixada a Fonte,36201,986222019,,Tiene capacidad para 36 comensales. Permanece cerrado los domingos.,,42.2155469788441,-8.7217120095951,,es-ES
8878,Lizarrán,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Canceleiro, 11",36201,986227306,www.lizarran.es,Tiene capacidad para 50 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res151.jpg,42.2373888384282,-8.71422957915328,,es-ES
8877,Lino,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Lepanto, 28",36201,986220125,,Tiene capacidad para 40 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res150.jpg,42.2342823209787,-8.71527214654075,,es-ES
8876,Liceo Exprés,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,Avda Eduardo Cabello,36320,986269910,,Tiene capacidad para 75 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res149.jpg,42.2267535266928,-8.75186306728332,,es-ES
8891,Mesón do Lois,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Baleares, 16",36203,986424703,,Tiene capacidad para 40 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res170.jpg,42.2270562972079,-8.72395800455993,,es-ES
8892,Mesón do Recanto,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Torrecedeira, 21",36202,986432485,,Tiene capacidad para 44 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res171.jpg,42.2340453105556,-8.73122984997188,,es-ES
8907,Tenoia,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Areal, 18",36201,986220774,,Tiene capacidad para 72 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res189.jpg,42.2392617979952,-8.71882739716872,,es-ES
