PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7834;"Oficina de Turismo de Jordania";"";"";"";"Metro: Diego de León (líneas 4, 5 y 6), Manuel Becerra (líneas 2 y 6)  Bus: 12, 210, 43, 48, 56, C1, 1, 74  Bicimad: Estación 192 (avenida de los Toreros, 3) / Estación 145 (calle Ortega y Gasset, 87)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad3d19d41471c010VgnVCM1000000b205a0aRCRD";"MONTESA";"CALLE";"V";"41";"";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442981";"4475779";"40.43070150530818";"-3.6722141900223515";"";"";"spain@visitjordan.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
52471;"Oficina de Turismo de Malta";"";"";"";"Metro: Gregorio Marañón (líneas 7, 10), Rubén Darío (línea 5)  Bus: 16, 5, 61, 147, 40, 7, 14, 150, 27, 45,   Bicimad: Estación 141 (Paseo de la Castellana, 43)";"Localizada en la Embajada de Malta";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8f6e7510551c010VgnVCM2000000c205a0aRCRD";"CASTELLANA";"PASEO";"V";"45";"6ª";"Derecha";"";"";"MADRID";"MADRID";"28046";"4";"ALMAGRO";"7";"CHAMBERI";"441505";"4476346";"40.43569358766222";"-3.689677189614338";"913 913 061";"";"maltaembassy.madrid@gov.mt";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7824;"Oficina de Turismo de Marruecos";"";"";"";"Metro: Ventura Rodríguez (línea 3), Plaza de España (línea 3)  Bus: 62, 74  Bicimad: Estación 14 (calle Ventura Rodríguez, 2)  Aparcamiento: Plaza de España (53), Plaza de España";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9fbd19d41471c010VgnVCM1000000b205a0aRCRD";"VENTURA RODRIGUEZ";"CALLE";"V";"24";"1º";"Izquierda";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439383";"4475087";"40.42420902572595";"-3.714574560417809";"915 412 995";"";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7826;"Oficina de Turismo de Perú";"";"";"";"Metro: Lista (línea 4), Diego de León (línea 4, 5, 9), Núñez de Balboa (línea 5, 9)  Bus: 1, 74, 29, 52  Bicimad: Estación 186 (calle General Pardiñas, 56)  Aparcamiento: Marqués de Salamanca (25), Plaza Marques de Salamanca";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b4ed19d41471c010VgnVCM1000000b205a0aRCRD";"MARQUES DE SALAMANCA";"PLAZA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442381";"4475670";"40.429674007218026";"-3.6792883340980196";"911 937 511";"";"info@oficinacomercialdeperu.es";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7835;"Oficina de Turismo de Polonia";"";"";"";"Metro: Plaza de España (líneas 3, 10), Ventura Rodríguez (línea 3), Noviciado (línea 2)  Bus: 001, 1, 2, 133, 138, 44, C1, 62, 74  Bicimad: estaciñon 116 a y b (calle Princesa, 5)  Aparcamiento: Plaza de España (53), Plaza de España";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=47fd19d41471c010VgnVCM1000000b205a0aRCRD";"PRINCESA";"CALLE";"V";"3";"";"local 1310";"";"Duplicado";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439529";"4475145";"40.42474213964734";"-3.7128591034859424";"915 414 808";"";"info.es@polonia.travel";"/contenido/entidadesYorganismos/OficinasTurismo"; 
5405234;"Oficina de Turismo de Portugal";"";"";"";"Metro: Núñez de Balboa (líneas 5, 9), Serrano (línea 4), Velázquez (línea 4)  Bus: 1, 19, 51, 74, 9  Bicimad: Estación 103 (Calle José Ortega y Gasset, 4)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3ad9a4aca553210VgnVCM2000000c205a0aRCRD";"LAGASCA";"CALLE";"V";"88";"4ª";"B";"";"";"MADRID";"MADRID";"28001";"6";"CASTELLANA";"4";"SALAMANCA";"441918";"4475700";"40.42991206232817";"-3.6847491581278606";"917 617 230";"";"info.espanha@turismodeportugal.pt";"/contenido/entidadesYorganismos/OficinasTurismo"; 
181856;"Oficina de Turismo de República Checa";"";"";"";"Metro: Pío XII (línea 9), Duque de Pastrana (línea 9)  Bus: 150, 16, 29, 107, 70";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9980e4e6d41c010VgnVCM2000000c205a0aRCRD";"PIO XII";"AVENIDA";"V";"22";"";"";"";"-24";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"442783";"4479722";"40.466195029254166";"-3.674926102930997";"913 592 527";"";"madrid@czechtourism.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7829;"Oficina de Turismo de República Dominicana";"";"";"";"Metro: Banco España (línea 2)  Bus: 14, 150, 27, 37, 45, 5, 53, C03, 203, E1, 001, 1, 146, 15, 2, 20, 51, 52, 74, 9  Renfe: Recoletos  Aparcamiento: Montalbán (49), calle Montalbán (entre calle Alfonso XI y paseo Prado)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c1e19d41471c010VgnVCM1000000b205a0aRCRD";"ALCALÁ";"CALLE";"V";"59";"4º";"";"";"";"MADRID";"MADRID";"28014";"6";"CASTELLANA";"4";"SALAMANCA";"441794";"4476348";"40.43574088970734";"-3.686270282394151";"914 177 375";"";"espana@mitur.gob.do";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7832;"Oficina de Turismo de Turquía";"";"";"";"Metro: Retiro (línea 2), Banco de España (línea 2), Estación del Arte (Atocha) (línea 1)  Bus: 19  Bicimad: Estación 65 (calle Antonio Maura, 15)  Renfe: Atocha (C1, C2, C3, C4, C5, C7, C10)  Aparcamiento: Montalbán (49), calle Montalbán (entre calle Alfonso XI y paseo Prado)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a66e19d41471c010VgnVCM1000000b205a0aRCRD";"ANTONIO MAURA";"CALLE";"V";"18";"2º";"D";"";"";"MADRID";"MADRID";"28014";"5";"LOS JERONIMOS";"3";"RETIRO";"441480";"4474203";"40.416395587157496";"-3.6897865586854928";"915 597 014 / 915 597 114";"";"turquia@ktb.gov.tr";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7841;"Oficina de Turismo de Túnez";"";"";"";"Metro: San Bernardo (líneas 2, 4),  Quevedo (línea 2)  Bus: 3, 37, 149  Bicimad: Estación 3 (Plaza del Conde Suchil 2-4)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=145e19d41471c010VgnVCM1000000b205a0aRCRD";"RODRIGUEZ SAN PEDRO";"CALLE";"V";"2";"";"Oficina 1108";"";"";"MADRID";"MADRID";"28015";"2";"ARAPILES";"7";"CHAMBERI";"440158";"4475899";"40.43158083851068";"-3.7055131033895483";"915 481 435";"915 483 705";"info.madrid@discovertunisia.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
5405423;"Oficina de Turismo de Venezuela";"";"";"";"Metro: Santiago Bernabeu (línea 10), Cuzco (línea 10), Nuevos Ministerios (línea 6, 8, 10)  Bus: 43, 149, 5  Bicimad: Estación 156 (calle Sor Ángela de la Cruz, 2)  Cercanías: Nuevos Ministerios (C1, C2, C3, C4, C7, C8, C10)  Aparcamiento: Orense (22), avenida General Perón, 27";"Localizada en la Embajada de Venezuela";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2457116bb1653210VgnVCM2000000c205a0aRCRD";"POETA JOAN MARAGALL";"CALLE";"V";"1";"13";"";"";"EDIFICIO EUROCENTRO";"MADRID";"MADRID";"28020";"2";"CUATRO CAMINOS";"6";"TETUAN";"441251";"4478298";"40.453269184872156";"-3.6928523641457414";"915 981 200";"915 971 583";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
190857;"Oficina de Turismo de la Comunidad de Madrid. Aeropuerto Adolfo Suárez Madrid Barajas (T4) - (T1)";"";"T4: Lunes a sábado, de 8 a 20 horas. Domingos y festivos, de 9 a 14 horas.  T1: Lunes a sábado, de 8 a 15:30 horas. Domingos y festivos, de 9 a 14 horas. (Cerrada temporalmente)  Cerradas los días 1 de enero, 1 de mayo y 25 de diciembre.";"";"Metro: Línea 8 - estación Aeropuerto T-4   Bus: Línea 201 Barajas - Aeropuerto T4";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28aa8f79e9c70110VgnVCM1000000b205a0aRCRD";"HISPANIDAD";"AVENIDA";"V";"2";"";"";"";"Llegadas internacionales T4 - Sala 11 y T1";"MADRID";"MADRID";"28042";"2";"AEROPUERTO";"21";"BARAJAS";"450312";"4478080";"40.45188738242834";"-3.5859807207200376";"913 338 247";"";"turismo@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
68611;"Oficina de Turismo de la Comunidad de Madrid. Estación de Atocha";"";"De lunes a sábado de 8 a 15:30 horas. Domingos y festivos de 9 a 14 horas. Cerrado 1 enero, 1 mayo y 25 diciembre.";"";"Metro: Estación del Arte (Atocha) (línea 1)  Bus: 27, 34, C03, C1, 59, 6, 85, E1, 102, 86, C2, 001, 10, 14, 119, 36, 41, 19, 45, 26, 32  Renfe: Atocha (C1, C2, C3, C4, C5, C7, C10)  Bicimad: Estación 50 (calle Santa Isabel, 57) / Estación 51 (Ronda Atocha, 2)  Aparcamiento: Sánchez Bustillo (37), calle Sánchez Bustillo";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f1f96e2cf41c010VgnVCM2000000c205a0aRCRD";"EMPERADOR CARLOS V";"PLAZA";"V";"3";"";"";"";"VESTÍBULO DEL AVE";"MADRID";"MADRID";"28045";"7";"ATOCHA";"2";"ARGANZUELA";"441257";"4473263";"40.4079119564538";"-3.6923163004968975";"915 284 630";"";"turismo@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7844;"Oficina de información turística de Castilla y León en Madrid";"";"Consultar.";"";"Metro: Retiro (línea 2), Principe de Vergara (línea 2), Velázquez (línea 4)  Bus: 146, 15, 52, 1, 19, 51, 74, 9, 20   Bicimad: Estación 102: calle Alcalá, 95 / Estación 96: calle Alcalá, 111";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c93c19d41471c010VgnVCM1000000b205a0aRCRD";"ALCALÁ";"CALLE";"V";"105";"baja";"";"";"";"MADRID";"MADRID";"28009";"1";"RECOLETOS";"4";"SALAMANCA";"442074";"4474796";"40.42177018095319";"-3.6828394778643716";"915 780 324";"";"oficinademadridfundacionsiglo@gmail.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
11051271;"Oficina de promoción de Castilla - La Mancha en Madrid";"";"Consultar.";"";"Metro: Santo Domingo (línea 2), Callao (líneas 1 y 3).  Bus: 001, 1, 2, 3, 46, 74, 133, 147, 148, 44, 75  Bicimad: Estación 2 (calle Miguel Moya, 1) / Estación 22 (calle Jacometrezzo, 3) / Estación 23 (Plaza Santo Domingo, 1)  Aparcamientos: Isabel la Católica (98), Calle de Isabel la Católica / Luna-Tudescos (14), P. Sta M&amp;ordf; Soledad Torres Acosta / El Corte Inglés Callao (92), Plaza de Callao";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f7750a11f811e610VgnVCM2000001f4a900aRCRD";"GRAN VIA";"CALLE";"V";"45";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439997";"4474714";"40.42090127868798";"-3.707295329224958";"680 221 008 / 682 227 249 (Whatsaap)";"";"infoopclm@jccm.es";"/contenido/entidadesYorganismos/OficinasTurismo"; 
